Paper Title,Contributors
Learning Iteration for Grades 2-3: Puzzles vs. UMC in Code.Org,"Davoli, Renzo; Lodi, Michael; Sbaraglia, Marco"
A LoRa-mesh based system for marine Social IoT,"Patriti, T; Mirri, S; Girau, R"
Enhancing Cognitive Rehabilitation in Multiple Sclerosis with a Disease-Specific Tool,Mauro Gaspari; Floriano Zini
Neonatal pain detection in videos using the iCOPEvid dataset and an ensemble of descriptors extracted from Gaussian of Local Descriptors,Lumini A.
Deep learning for plankton and coral classification,Lumini A.
Multi-Task Attentive Residual Networks for Argument Mining,"Andrea Galassi
; Paolo Torroni"
Accessible wayfinding and navigation: a systematic mapping study,Prandi C.; Mirri S.; Fogli D.
Augmenting Emerging Hospitality Services: A Playful Immersive Experience to Foster Interactions among Locals and Visitors,"Prandi, Catia; Ceccarini, Chiara"
A Survey on String Constraint Solving,"Amadini, Roberto"
ExaMon-X: a Predictive Maintenance Framework for Automatic Monitoring in Industrial IoT Systems,"Borghesi, Andrea; Burrello, Alessio; Bartolini, Andrea"
Complex queries over decentralised systems for geodata retrieval,Mirko Zichichi; Luca Serena; Stefano Ferretti; Gabriele D'Angelo
A Prolog application for reasoning on maths puzzles with diagrams,"Chesani, Federico; Loreti, Daniela; Mello, Paola"
Suggesting assess queries for interactive analysis of multidimensional data,Matteo Francia; Matteo Golfarelli; Stefano Rizzi
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,Francia M.
"What is consciousness? Artificial intelligence, real intelligence, quantum mind and qualia","Roli, Andrea"
Comparing the latent space of generative models,"Asperti, Andrea"
Ranking Models for the Temporal Dimension of Text,"Rizzo, Stefano Giovanni; Montesi, Danilo"
Cost-based Optimization of Multistore Query Plans,"Forresi, C; Francia, M; Gallinucci, E; Golfarelli, M"
Temporal Blockchains for Intelligent Transportation Management and Autonomous Vehicle Support in the Internet of Vehicles,Grandi Fabio
FRAMH: A Federated Learning Risk-Based Authorization Middleware for Healthcare,Mazzocca C.; Romandini N.; Colajanni M.; Montanari R.
Exploring proximity-based recommendation criteria as a tool for information exchange and interactions between locals and tourists,Ceccarini C.; Prandi C.
An Optimized Heart Rate Detection System Based on Low-Power Microcontroller Platforms for Biosignal Processing,Mazzoni B.; Tagliavini G.; Benini L.; Benatti S.
Polyp Segmentation with Deep Ensembles and Data Augmentation,Lumini A.
A Social Internet of Things Smart City Solution for Traffic and Pollution Monitoring in Cagliari,Girau R.; Pau G.
A field-based computing approach to sensing-driven clustering in robot swarms,Aguzzi G.; Casadei R.; Viroli M.
Sparsity Agnostic Depth Completion,"Andrea Conti
; Matteo Poggi; Stefano Mattoccia"
ScanNeRF: a Scalable Benchmark for Neural Radiance Fields,Luca De Luigi; Daniele De Gregorio; Matteo Poggi; Luigi Di Stefano
Logical design of multi-model data warehouses,Enrico Gallinucci; Stefano Rizzi
Digital Twin Collaborative Platforms: Applications to Humans-in-the-loop Crafting of Urban Areas,Bononi L.; Donatiello L.; Longo D.; Massari M.; Montori F.; Stacchio L.; Marfia G.
Mission Critical Communications Support with 5G and Network Slicing,Borsatti D.; Grasselli C.; Cerroni W.; Callegati F.
Do open citations give insights on the qualitative peer-review evaluation in research assessments? An analysis of the Italian National Scientific Qualification,"Di Iorio, Angelo; Peroni, Silvio; Poggi, Francesco"
The Monocular Depth Estimation Challenge,Stefano Mattoccia; Matteo Poggi; Fabio Tosi; Youmin Zhang; Chaoqiang Zhao
Resilience of Hybrid Casper under varying values of parameters,"Laneve, Cosimo; Veschetti, Adele"
 as storytelling: A systematic literature review,Ciancarini P; Succi G
tauJUpdate: A Temporal Update Language for JSON Data,"Grandi, Fabio"
An algorithmic pipeline for solving equations over discrete dynamical systems modelling hypothesis on real phenomena,Luciano Margara
A Third Transition in Science?,Andrea Roli
Self-Distillation for Unsupervised 3D Domain Adaptation,"Adriano Cardace
; Riccardo Spezialetti; Pierluigi Zama Ramirez; Samuele Salti; Luigi Di Stefano"
Pacta sunt servanda: Legal contracts in Stipula,Cosimo Laneve; Giovanni Sartor; Adele Veschetti
A weakly supervised approach for recycling code recognition,Pellegrini Lorenzo; Maltoni Davide
RLQ: Workload Allocation With Reinforcement Learning in Distributed Queues,"Staffolani, Alessandro; Bellavista, Paolo; Musolesi, Mirco"
RUAD: Unsupervised anomaly detection in HPC systems,Molan M.; Borghesi A.; Benini L.; Bartolini A.
Process Discovery on Deviant Traces and Other Stranger Things,"Chesani, Federico; Loreti, Daniela; Mello, Paola"
Cogito Ergo Summ: Abstractive Summarization of Biomedical Papers via Semantic Parsing Graphs and Consistency Rewards,Giacomo Frisoni; Paolo Italiani; Stefano Salvatori; Gianluca Moro
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,Francia M.; Giovanelli J.; Pisano G.
Representation of learning in the post-digital: students’ dropout predictive models with artificial intelligence algorithms,Andrea Zanellati; Anita Macauda; Chiara Panciroli; Maurizio Gabbrielli
The Fallout of Catastrophic Technogenic Emissions of Toxic Gases Can Negatively Affect Covid-19 Clinical Course,Succi G
Describing and Assessing Cubes Through Intentional Analytics,Matteo Francia; Matteo Golfarelli; Stefano Rizzi
"An IoT Toolchain Architecture for Planning, Running and Managing a Complete Condition Monitoring Scenario","Montori, Federico; Zyrianoff, Ivan; Gigli, Lorenzo; Calvio, Alessandro; Venanzi, Riccardo; Sindaco, Simone; Sciullo, Luca; Zonzini, Federica; Zauli, Matteo; Testoni, Nicola; Felice, Marco Di; Bononi, Luciano; Bellavista, Paolo; De Marchi, Luca; Marzani, Alessandro; Cinotti, Tullio Salmon"
On the Decentralization of Health Systems for Data Availability: a DLT-based Architecture,Mirko Zichichi; Stefano Ferretti; Gabriele D'Angelo
Developing Sustainable and Energy-Efficient  Systems,Succi G
The Whys and Wherefores of Cubes,Matteo Francia; Stefano Rizzi
diffeRenTES: An R package for computing cell differentiation trees from Boolean networks[Formula presented],Braccini M.
Computation Against a Neighbour: Addressing Large-Scale Distribution and Adaptivity with Functional Programming and Scala,Casadei R.; Viroli M.
Excess mortality and COVID-19 deaths in Italy: A peak comparison study,"Roccetti M.
"
RISING: A new framework for model-based few-view CT image reconstruction with deep learning,"Evangelista D.; Morotti E.
; Loli Piccolomini E."
Binary Discovery of Declarative Business Processes with ASP Preferences,Federico Chesani; Daniela Loreti; Paola Mello
The Data Exchange Protocol over Multi-chain Blockchain Using Zero-knowledge Proof,Gabriele D'Angelo
Privacy preservation for spatio-temporal data in Mobile Crowdsensing scenarios,"Montori F.
; Bedogni L."
When Operation Technology Meets Information Technology: Challenges and Opportunities,Davide Berardi; Franco Callegati; Andrea Giovine; Andrea Melis; Marco Prandini; Lorenzo Rinieri
"Logistica 4.0, scioperi e soggetti circolanti",Maurilio Pirone; Mattia Frapporti; Floriano Milesi
Enabling adaptive analytics at the edge with the Bi-Rex Big Data platform,"Venanzi, Riccardo; Solimando, Michele; Campioni, Lorenzo; Cavalucci, Alberto; Foschini, Luca; Stefanelli, Cesare"
Optimal reliable design of energy-efficient Wireless Body Area Networks,"Elias, Jocelyne; Trotta, Angelo"
Radiomic Features from Post-Operative 18F-FDG PET/CT and CT Imaging Associated with Locally Recurrent Rectal Cancer: Preliminary Findings,Margherita Mottola; Alessandro Bevilacqua; Arrigo Cattabriga; Maria Adriana Cocozza; Stefano Cardelli; Gerti Dajti; Susanna Mattoni; Rita Golfieri; Stefano Fanti; Gilberto Poggioli
Qualitative Clustering of  Repositories Based on  Metrics,Succi G
Special Issue “Advances in Multi-Agent Systems”: Editorial,Andrea Omicini
Self-adaptive Publish/Subscribe Network Design,"Maniezzo, Vittorio; Boschetti, Marco A."
MicroRacer: A Didactic Environment for Deep Reinforcement Learning,"Asperti, Andrea"
Temporal Blockchains for Intelligent Transportation and Autonomous Vehicles Management,"Grandi, Fabio"
τJSONPath: A Temporal Extension of the JSONPath Language for the τJSchema Framework,"Grandi, Fabio"
A Standardized Approach for Skin Detection: Analysis of the Literature and Case Studies,Lumini A.
"The CLEF-2023 CheckThat! Lab: Checkworthiness, Subjectivity, Political Bias, Factuality, and Authority","Barron Cedeno, Alberto
; Caselli, Tommaso; Galassi, Andrea; Ruggeri, Federico"
Generative negative replay for continual learning,"Graffieti, Gabriele; Maltoni, Davide; Pellegrini, Lorenzo; Lomonaco, Vincenzo"
A Tabu Search Matheuristic for the Generalized Quadratic Assignment Problem,"Maniezzo V.
"
A Systemic Approach to Evaluating the Organizational Agility in Large-Scale Companies,Succi G
A Metadata-Assisted Cascading Ensemble Classification Framework for Automatic Annotation of Open IoT Data,"Montori, Federico
; Bononi, Luciano"
Texting and Driving Recognition leveraging the Front Camera of Smartphones,"Montori, Federico"
Analyses of  Data and Their Interpretations: A Framework of Information Granules,Succi G
P-IOTA: A Cloud-Based Geographically Distributed Threat Alert System That Leverages P4 and IOTA,"Al Sadi, Amir; Mazzocca, Carlo; Melis, Andrea; Montanari, Rebecca; Prandini, Marco; Romandini, Nicolò"
The Music Annotation Pattern,Poltronieri A.; Presutti V.
Coupling RetinaFace and Depth Information to Filter False Positives,Lumini A.
τSQWRL: A TSQL2-Like Query Language for Temporal Ontologies Generated from JSON Big Data,"Grandi, Fabio"
Beyond multiparametric MRI and towards radiomics to detect prostate cancer: A machine learning model to predict clinically significant lesions,Bianchi Lorenzo; Mottola Margherita; Droghetti Matteo; Cattabriga Arrigo; Cocozza Maria Adriana; Palmeri Antonino; Giunchi Francesca; Schiavina Riccardo; Fiorentino Michelangelo; Brunocilla Eugenio; Golfieri RIta; Bevilacqua Alessandro
Time sensitive networking security: issues of precision time protocol and its implementation,"Berardi, Davide
; Melis, AndreaInvestigation; Prandini, Marco; Callegati, Franco"
Scalable Hierarchical Instruction Cache for Ultralow-Power Processors Clusters,Tagliavini G.; Benini L.; Rossi D.
Dustin: A 16-Cores Parallel Ultra-Low-Power Cluster With 2b-to-32b Fully Flexible Bit-Precision and Vector Lockstep Execution Mode,Gianmarco Ottavi; Angelo Garofalo; Giuseppe Tagliavini; Francesco Conti; Luca Benini; Davide Rossi
Matheuristics: survey and synthesis,"Boschetti, Marco A.; Maniezzo, Vittorio"
A Structured Approach to Insider Threat Monitoring for Offensive Security Teams,Al Sadi A.; Berardi D.; Callegati F.; Melis A.; Prandini M.
Real-time Pipeline Reconfiguration of P4 Programmable Switches to Efficiently Detect and Mitigate DDoS Attacks,"Al Sadi A.
Investigation; Berardi D.; Melis A.; Prandini M.; Callegati F."
Towards the Creation of Interdisciplinary Consumer-Oriented Security Metrics,Gori G.; Melis A.; Berardi D.; Prandini M.; Al Sadi A.; Callegati F.
Towards Marketing 4.0: Vision and Survey on the Role of IoT and Data Science,"Montori, Federico"
Joint privacy and data quality aware reward in opportunistic Mobile Crowdsensing systems,"Montori, Federico"
The Challenges of Recognizing Offline Handwritten Chinese: A Technical Review,Mirri S.
Symbolic knowledge extraction for explainable nutritional recommenders,Matteo Magnini; Giovanni Ciatto; Andrea Omicini
Deep Learning for Head Pose Estimation: A Survey,"Asperti, Andrea"
"Predictive health intelligence: Potential, limitations and sense making","Roccetti M.
"
Delay Indices for Train Punctuality,"Enrico Denti
"
On the Definition of Prescriptive Annotation Guidelines for Language-Agnostic Subjectivity Detection,Federico Ruggeri; Francesco Antici; Andrea Galassi; aikaterini Korre; Arianna Muti; Alberto Barron
An evaluation  to determine the actual limitations of a TinyML-based solution,Delnevo G.; Mirri S.; Prandi C.
Unsupervised hyperspectral image segmentation of films: a hierarchical clustering-based approach,Liu L.; Delnevo G.; Mirri S.
Neural Networks for Hyperspectral Imaging of Historical Paintings: A Practical Review,Liu L.; Delnevo G.; Mirri S.
Multi-connectivity in 5G New Radio: Optimal resource allocation for split bearer and data duplication,"Elias, J"
A Systematic Literature Review of Offensive and Defensive Security Solutions with  Defined Network,"Melis, Andrea
; Sadi, Amir Al; Berardi, Davide; Callegati, Franco; Prandini, Marco"
Data Flooding against Ransomware: Concepts and Implementations,"Berardi, Davide; Giallorenzo, Saverio; Melis, Andrea; Onori, Loris; Prandini, Marco"
Argumentation Structure Prediction in CJEU Decisions on Fiscal State Aid,Piera Santin; Giulia Grundler; Andrea Galassi; Federico Galli; Francesca Lagioia; Elena Palmieri; Federico Ruggeri; Giovanni Sartor; Paolo Torroni
The PSyKE Technology for Trustworthy Artificial Intelligence,Calegari R.
Burden of Persuasion: A Meta-argumentation Approach,Giuseppe Pisano; Roberta Calegari; Andrea Omicini; Giovanni Sartor
Multi-Agent Cooperative Argumentation in Arg2P,Giuseppe Pisano; Roberta Calegari; Andrea Omicini
"DS4H Image Alignment (DS4H-IA), an open-source ImageJ/Fiji plugin for aligning mdality 2D microscopy images.","Filippo Piccinini
; Vincenzi Fabio; Iorio Matteo; Enrico Giampieri; Giovanni Martinelli; Gastone Castellani; Antonella Carbonaro."
Portrait Reification with Generative Diffusion Models,"Asperti, Andrea"
Detecting Double-Identity Fingerprint Attacks,"Ferrara, M.
; Cappelli, R.; Maltoni, D."
"GASTon: A Graph-Exploration System for Indexing, Annotating and Visualizing PubMed Articles to Enhance the Analysis of Social deTerminants of Health","Bertini, Flavio; Montesi, Danilo"
Image embedding for denoising generative models,"Asperti, Andrea; Evangelista, Davide; Marro, Samuele; Merizzi, Fabio"
On Counting Propositional Logic and Wagner's Hierarchy,"Antonelli, Melissa; Dal Lago, Ugo; Pistone, Paolo"
Enumerating Error Bounded Polytime Algorithms Through Arithmetical Theories,Melissa Antonelli; Ugo Dal Lago; Davide Davoli; Paolo Pistone; Isabel Oitavem
Introduction to Presentation Attack Detection in Fingerprint Biometrics,Cappelli R.
A human–AI collaboration workflow for archaeological sites detection,Casini L.; Marchetti N.; Orru V.; Roccetti M.
Recurrent neural networks in synthetic cells: a route to autonomous molecular agents?,"Braccini, Michele; Roli, Andrea"
Classifying Sequences by Combining Context-Free Grammars and OWL Ontologies,Nicolas Lazzari; Andrea Poltronieri; Valentina Presutti
The Harmonic Memory: a Knowledge Graph of harmonic patterns as a trustworthy framework for computational creativity,"Poltronieri A.

; Presutti V.
"
Symbolic Knowledge Injection meets Intelligent Agents: QoS metrics and experiments,Andrea Agiollo; Matteo Magnini; Giovanni Ciatto; Andrea Omicini
Knowledge injection of Datalog rules via Neural Network Structuring with KINS,Matteo Magnini; Giovanni Ciatto; Andrea Omicini
